iter	RMSE
0	693.207274
1	685.5950106
2	678.8790839
3	672.1203067
4	666.2632724
5	660.9368973
6	656.1466502
7	651.7647167
8	647.5852409
9	643.4733941
10	639.6612506
11	636.6535775
12	633.2555614
13	630.6222129
14	628.0270601
15	625.8565325
16	623.6540072
17	621.8159153
18	619.8444291
19	617.8234072
20	616.3349338
21	614.7288693
22	613.5123167
23	612.1988381
24	611.0718982
25	609.88909
26	608.91003
27	607.7768002
28	606.7349505
29	605.8284612
30	605.099243
31	604.4582604
32	603.7627141
33	602.9037926
34	602.2030502
35	601.7185451
36	601.2371616
37	600.5945491
38	599.7336755
39	599.2617091
40	598.7600003
41	598.0812957
42	597.4070199
43	596.6149152
44	596.0985398
45	595.7450204
46	595.3194278
47	594.7733257
48	594.1050159
49	593.7200612
50	593.3451455
51	593.074565
52	592.7262333
53	592.1031549
54	591.7690109
55	591.5569409
56	591.2836363
57	590.6693311
58	590.2259078
59	589.9437998
60	589.5565204
61	589.1663116
62	588.8050777
63	588.4934897
64	588.1488469
65	587.8878033
66	587.6491937
67	587.4038155
68	586.996507
69	586.6894899
70	586.4776519
71	586.255458
72	585.9885165
73	585.7325185
74	585.4813241
75	585.1796028
76	584.901356
77	584.7191241
78	584.5289395
79	584.2895805
80	584.0987768
81	583.6336733
82	583.4811914
83	583.2926301
84	583.0094939
85	582.8299552
86	582.6567288
87	582.4806896
88	582.2843401
89	581.8987335
90	581.7501329
91	581.5572804
92	581.3655886
93	581.2243264
94	581.0072354
95	580.7799323
96	580.6038547
97	580.4372225
98	580.1664946
99	579.8876576
100	579.7301639
101	579.6015622
102	579.3120708
103	579.0682391
104	578.901397
105	578.7921501
106	578.594966
107	578.3966327
108	578.2867169
109	578.1583407
110	578.0061068
111	577.8960968
112	577.7626315
113	577.5928842
114	577.4705393
115	577.2407074
116	577.1133869
117	576.9477388
118	576.8053244
119	576.5513383
120	576.4197476
121	576.2546797
122	576.1420039
123	576.00876
124	575.7653921
125	575.5148881
126	575.3703372
127	575.2219408
128	575.0345718
129	574.8552467
130	574.684846
131	574.4269473
132	574.2805044
133	574.1857148
134	573.9296001
135	573.7986774
136	573.663662
137	573.5582232
138	573.2543641
139	573.0466058
140	572.8619168
141	572.6437751
142	572.4022252
143	572.262531
144	572.1552918
145	572.0514496
146	571.9704885
147	571.8378163
148	571.6412211
149	571.4582395
150	571.3363432
151	571.1689306
152	571.0234157
153	570.8921899
154	570.7495981
155	570.5246465
156	570.3766645
157	570.2565222
158	570.116601
159	569.9901982
160	569.8889868
161	569.694496
162	569.5666779
163	569.4482356
164	569.2675072
165	569.0911579
166	568.9746322
167	568.8225041
168	568.6021479
169	568.4264604
170	568.2711223
171	568.0541946
172	567.9367534
173	567.7231724
174	567.631223
175	567.4426788
176	567.3167568
177	567.1853506
178	567.0201019
179	566.8626932
180	566.6786177
181	566.4618596
182	566.1910892
183	565.9056144
184	565.746781
185	565.629807
186	565.4764381
187	565.2780553
188	565.1446645
189	565.0160038
