iter	Passed	Remaining
0	4	5274
1	9	5135
2	14	5130
3	18	5109
4	23	5093
5	28	5119
6	30	4723
7	34	4712
8	39	4741
9	44	4763
10	48	4752
11	53	4761
12	57	4784
13	62	4796
14	66	4777
15	70	4737
16	74	4692
17	78	4666
18	82	4637
19	86	4615
20	90	4606
21	94	4584
22	98	4564
23	102	4542
24	106	4528
25	110	4504
26	113	4451
27	117	4443
28	121	4434
29	125	4415
30	129	4403
31	133	4386
32	136	4369
33	140	4350
34	144	4338
35	148	4338
36	153	4343
37	157	4331
38	160	4320
39	164	4312
40	168	4304
41	172	4292
42	176	4286
43	181	4290
44	185	4287
45	189	4281
46	193	4276
47	197	4268
48	201	4267
49	205	4254
50	209	4258
51	213	4254
52	218	4252
53	221	4242
54	225	4236
55	229	4224
56	233	4217
57	237	4211
58	241	4209
59	243	4167
60	247	4156
61	251	4152
62	255	4146
63	259	4140
64	263	4134
65	267	4131
66	271	4127
67	275	4127
68	279	4120
69	283	4117
70	287	4112
71	291	4108
72	295	4104
73	299	4093
74	303	4092
75	307	4088
76	311	4086
77	315	4082
78	319	4077
79	323	4073
80	328	4073
81	332	4074
82	337	4072
83	341	4071
84	345	4068
85	349	4064
86	353	4063
87	357	4058
88	362	4061
89	367	4067
90	371	4066
91	376	4069
92	378	4040
93	382	4038
94	387	4039
95	392	4043
96	396	4044
97	398	4022
98	403	4020
99	407	4019
100	412	4019
101	416	4021
102	420	4015
103	424	4010
104	428	4005
105	432	4000
106	436	3998
107	441	3995
108	445	3989
109	449	3987
110	453	3982
111	457	3977
112	461	3972
113	465	3966
114	469	3962
115	471	3945
116	475	3939
117	479	3935
118	483	3928
119	504	4061
120	510	4072
121	516	4084
122	522	4093
123	527	4093
124	532	4093
125	536	4088
126	540	4082
127	544	4078
128	548	4071
129	552	4064
130	557	4061
131	561	4056
132	565	4053
133	569	4046
134	573	4040
135	577	4033
136	581	4027
137	585	4020
138	589	4013
139	593	4008
140	597	4005
141	601	3999
142	605	3994
143	609	3988
144	613	3982
145	617	3975
146	621	3971
147	626	3967
148	629	3961
149	633	3954
150	637	3948
151	641	3942
152	645	3936
153	648	3925
154	653	3922
155	655	3908
156	659	3901
157	663	3898
158	667	3893
159	671	3889
160	675	3883
161	679	3874
162	683	3870
163	687	3865
164	691	3860
165	695	3854
166	699	3851
167	703	3845
168	708	3841
169	712	3836
170	715	3830
171	719	3825
172	723	3820
173	728	3817
174	732	3813
175	736	3807
176	740	3801
177	744	3797
178	748	3790
179	751	3781
180	755	3775
181	759	3770
182	763	3765
183	766	3759
184	771	3755
185	775	3750
186	779	3745
187	783	3740
188	786	3734
189	790	3728
190	794	3724
191	798	3719
192	802	3715
193	806	3708
194	810	3702
195	814	3697
196	818	3691
197	821	3685
198	825	3680
199	829	3674
200	833	3670
201	837	3665
202	841	3660
203	845	3655
204	849	3651
205	853	3646
206	857	3641
207	861	3635
208	865	3632
209	869	3627
210	873	3622
211	877	3617
212	881	3611
213	884	3605
214	888	3599
215	894	3603
216	899	3604
217	903	3596
218	908	3595
219	912	3590
220	916	3587
221	920	3583
222	925	3579
223	928	3574
224	932	3569
225	936	3564
226	940	3559
227	944	3554
228	948	3549
229	952	3544
230	957	3542
231	961	3538
232	965	3534
233	969	3530
234	973	3525
235	976	3518
236	980	3513
237	985	3510
238	989	3507
239	993	3503
240	997	3498
241	1001	3494
242	1005	3486
243	1008	3481
244	1013	3477
245	1017	3473
246	1021	3468
247	1025	3463
248	1028	3458
249	1032	3454
250	1036	3448
251	1040	3444
252	1044	3439
253	1048	3434
254	1051	3427
255	1055	3421
256	1059	3416
257	1063	3411
258	1066	3406
259	1070	3401
260	1072	3389
261	1076	3384
262	1080	3379
263	1081	3368
264	1085	3362
265	1089	3358
266	1093	3353
267	1097	3349
268	1100	3343
269	1105	3340
270	1109	3335
271	1113	3332
272	1117	3328
273	1121	3323
274	1125	3318
275	1129	3314
276	1133	3310
277	1137	3306
278	1141	3301
279	1145	3297
280	1149	3292
281	1153	3287
282	1157	3283
283	1160	3278
284	1165	3275
285	1169	3271
286	1173	3266
287	1177	3261
288	1180	3256
289	1184	3251
290	1188	3246
291	1192	3241
292	1196	3238
293	1200	3233
294	1204	3228
295	1206	3219
296	1210	3215
297	1214	3210
298	1217	3205
299	1221	3200
300	1225	3196
301	1229	3193
302	1233	3188
303	1237	3183
304	1241	3179
305	1245	3175
306	1249	3170
307	1252	3164
308	1257	3161
309	1261	3157
310	1265	3153
311	1269	3148
312	1273	3144
313	1277	3139
314	1280	3135
315	1284	3130
316	1289	3127
317	1293	3122
318	1296	3118
319	1300	3113
320	1304	3108
321	1308	3103
322	1311	3099
323	1315	3094
324	1320	3091
325	1324	3086
326	1327	3082
327	1331	3077
328	1335	3073
329	1339	3068
330	1343	3063
331	1347	3060
332	1351	3056
333	1354	3050
334	1358	3045
335	1362	3040
336	1366	3036
337	1369	3031
338	1373	3027
339	1377	3023
340	1381	3018
341	1385	3014
342	1388	3007
343	1392	3002
344	1394	2995
345	1398	2991
346	1400	2982
347	1404	2978
348	1408	2974
349	1412	2970
350	1416	2965
351	1420	2961
352	1424	2957
353	1427	2952
354	1431	2948
355	1435	2943
356	1439	2939
357	1443	2935
358	1447	2931
359	1450	2924
360	1454	2920
361	1458	2917
362	1462	2912
363	1466	2908
364	1470	2904
365	1474	2900
366	1478	2896
367	1482	2892
368	1485	2887
369	1489	2882
370	1493	2878
371	1497	2873
372	1501	2870
373	1505	2865
374	1509	2861
375	1513	2857
376	1517	2853
377	1520	2848
378	1524	2844
379	1528	2840
380	1532	2836
381	1536	2831
382	1540	2827
383	1544	2823
384	1548	2818
385	1552	2814
386	1556	2810
387	1560	2807
388	1564	2803
389	1568	2799
390	1572	2794
391	1576	2790
392	1579	2785
393	1583	2781
394	1587	2777
